motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
HXA9_HUMAN.H11MO.0.B,POU6F2,HOXD12,POU6F2;HOXD12;HOXD13;HOXA11,HOXD12;HOXD13;HOXA11,ZFP64;ZNF74;PATZ1;BCL11A;ZNF273;ZNF326;SOX2;OTX1;SIX4;ZNF558;PAX6;ZBTB12;ZIC2;ZNF77;TFCP2;ZBTB33;SIM2;E2F6;ZNF786;TGIF2;ZNF3;SIX1;AHCTF1;ZNF692;TCF20;TLX1;POU6F2;HOXD12;POU5F1B;SAFB;TFAP4;ZNF519;ZNF26;NEUROG2;CREB3L4;TBPL1;ADNP;DLX5;DLX2;ZNF292;ZNF639;ZNF687;HOXD13;RFX7;MAZ;ZNF18;ZBTB39;ZNF711;DMRT2;VAX2;DLX6;ZNF343;ZNF131;HES6;TP63;MYNN;HOXA11;SOX21;DMRT1
PO3F3_HUMAN.H11MO.0.D,HOXD12,NA,HOXD12;POU6F2;HOXD11;HOXD13,NA,SOX2;ZFP64;TP63;KLF5;SOX21;ZBTB33;FOXE1;ZNF77;DMRT2;DLX6;OTX1;DLX5;TFAP4;ZIC2;ZNF74;NFE2L2;ZNF273;HOXD12;DMRT3;RFX7;ZNF326;ZNF18;ZNF556;ZNF639;ZNF398;DLX1;PATZ1;SIX4;CEBPG;AHCTF1;NKRF;POU6F2;SOX6;SOX12;GRHL3;ZNF558;GTF2IRD1;ZNF3;PAX6;SIX1;ZNF343;MYNN;ZNF786;MYCL;DDIT3;TFCP2;DMRT1;HOXD11;AEBP2;SP3;BCL11A;ZNF519;SOX15;NEUROD2;CREB3L4;DLX2;CEBPZ;PRDM13;HOXD13
HXC6_HUMAN.H11MO.0.D,POU6F2,NA,POU6F2;HOXD12,NA,SOX2;ZNF74;OTX1;ZFP64;TFAP4;ZIC2;ZNF326;KLF5;POU6F2;SOX21;BCL11A;ZBTB33;PATZ1;TP63;ZNF519;ZNF77;ZNF273;GTF2IRD1;ZBTB39;KDM2B;TCF20;ZBTB12;DMRT2;MAZ;DLX5;MYCL;ZNF639;KAT7;PAX6;TFCP2;DLX6;SAFB;SIM2;RFX7;ZNF558;MYNN;NFE2L2;HOXD12;ZNF18;DMRT3;FOXE1;ZNF687;AHCTF1;ZNF692;DMRT1;E2F6;NEUROD2;CREB3L4;HES6;ZNF26;ZNF786;SOX12;TGIF2;DLX2;FOXM1;DDIT3;NKRF;ZNF207;ZNF711
NF2L2_HUMAN.H11MO.0.A,NFE2L2,NFE2L2,NFE2L2,NFE2L2,KLF5;ZNF77;TP63;ZFP64;TCF20;OTX1;BCL11A;TFAP4;POU6F2;ZNF74;SOX2;NFE2L2;ZNF273;ZNF326;PITX1;DMRT1;MYNN;DMRT2;ZIC2;PATZ1;SOX15;PAX9;DLX5;FOXH1;IRF6;ZNF343;TBX6;ZNF558;DMRT3;ZNF639;ZNF385A;SOX21;ZBTB33;TBPL1;ZNF292;HOXD12;ZNF18;DDIT3;ZNF3;HOXA10;GTF2IRD1;ZNF519;ZNF507;FOXN1;ELK4;MYCL;SIX1;SIX4;ZNF556;FOXE1;HMGA1;HOXD11;AEBP2;MAZ;SNAI2;SP3;FOXD1;GRHL3;DLX6
HXB13_HUMAN.H11MO.0.A,HOXD12,HOXD12,HOXD12;POU6F2;HOXD11;HOXD13,HOXD12;HOXD11;HOXD13,ZFP64;SOX2;TP63;OTX1;DLX5;DMRT2;ZNF74;ZIC2;TCF20;BCL11A;ZNF273;TFAP4;ZNF326;FOXE1;KLF5;ZNF18;AEBP2;DLX6;SOX21;DMRT3;ZNF77;DMRT1;PAX6;PATZ1;HOXD12;RFX7;ZBTB33;NFE2L2;AHCTF1;GTF2IRD1;POU6F2;HOXD11;DLX1;HOXD13;FOXM1;TBPL1;ZNF786;ZNF639;ZNF507;FOXD1;FOXN1;SIX4;ZNF556;ZNF589;GRHL3;DLX2;ZNF558;VAX2;SOX15;SIX1;ELK4;SP3;ZNF519;EMX1;PRDM13;TFCP2;SAFB;MAZ;TGIF2
ZSC16_HUMAN.H11MO.0.D,ZFP64,ZFP64,ZFP64;ZIC2;ZNF18;MYNN;ZNF589,ZFP64;ZNF18;MYNN;ZNF589,ZFP64;SOX2;PATZ1;ZNF326;OTX1;ZNF74;ZBTB33;ZIC2;PAX6;DMRT2;TP63;ZNF3;ZNF77;SIX4;TFAP4;ZNF273;SIX1;ZNF786;DMRT3;TBPL1;SOX21;BCL11A;KLF5;OTX2;RFX7;DLX5;SP3;ZNF18;HES6;CREB3L4;DMRT1;DLX6;TFCP2;NEUROD2;ZNF687;TCF20;POU6F2;NFE2L2;ZNF639;GTF2IRD1;HOXD12;AHCTF1;E2F6;HOXA10;MAZ;MYCL;ZNF558;FOXH1;ZNF519;SOX12;TFAP2B;MYNN;ZNF398;SAFB;DDIT3;SREBF2;SOX6;PRDM13;ZNF589
FOXJ3_HUMAN.H11MO.1.B,FOXE1,NA,FOXE1;FOXD1,NA,SOX2;TP63;KLF5;ZFP64;OTX1;SOX21;ZIC2;ZNF77;DMRT2;ZNF326;ZNF74;ZBTB33;FOXE1;NFE2L2;TFAP4;ZNF18;DLX6;ZNF639;BCL11A;DLX5;HOXD12;RFX7;ZNF273;POU6F2;PATZ1;DMRT1;DMRT3;SIX4;MYNN;TCF20;GTF2IRD1;ZNF519;DDIT3;ZNF558;SOX6;EMX1;NEUROD2;ZNF3;MYCL;ZNF556;ZNF26;FOXD1;SP3;ZNF292;ZNF343;TFCP2;ZBTB39;HOXD11;E2F6;SIX1;AHCTF1;DLX2;PAX6;TBPL1;AEBP2;DLX1;ZNF711;ZNF687;GRHL3
ZBED1_HUMAN.H11MO.0.D,NA,NA,NA,NA,TP63;KLF5;NFE2L2;ZFP64;OTX1;ZNF18;ZBTB33;DMRT2;SOX2;TCF20;DMRT3;FOXE1;EMX1;BCL11A;DLX5;DMRT1;ZIC2;POU6F2;DLX6;ZNF556;IRF6;ZNF385A;HOXD11;HOXD12;MYNN;ZNF639;GRHL3;PITX1;FOXN1;SOX15;TFAP4;SMAD3;NEUROD2;ZNF74;RFX7;ZNF343;ZNF273;ELK4;SOX21;MYCL;HOXA10;ZNF507;BCL6;ZNF398;HOXD10;PAX9;ZNF326;ZNF77;GRHL1;SIX4;CEBPG;SNAI2;SIX1;PAX6;TBX6;SOX6;AHCTF1;AEBP2;ZNF558
EVI1_HUMAN.H11MO.0.B,PATZ1,NA,PATZ1;BCL11A;ZNF687;MAZ;ZNF711;ZNF786,NA,ZNF77;PATZ1;SOX2;OTX1;BCL11A;ZNF273;TFCP2;ZBTB33;TFAP4;ZBTB39;ZFP64;ZNF687;POU6F2;DMRT2;CREB3L4;ZNF519;SOX21;PAX6;ZNF74;OTX2;DMRT3;HOXD12;TGIF2;ZNF326;DMRT1;ZNF507;HOXD13;ZNF558;CEBPG;DLX5;KDM2B;TFAP2B;FOXH1;ZBTB12;DLX6;FOXE1;TBPL1;MYCL;HOXA11;SIX4;PAX3;NRF1;MAZ;ZNF18;HES6;ZNF711;VAX2;ZNF26;SIM2;HOXB13;RFX7;AHCTF1;FOXM1;NEUROG2;SOX6;ZNF589;ZNF786;NKRF;MYNN
CPEB1_HUMAN.H11MO.0.D,NA,NA,NA,NA,SOX2;OTX1;SOX21;ZFP64;ZBTB33;KLF5;DMRT2;ZIC2;ZNF74;ZNF77;PATZ1;DMRT3;ZNF687;MYCL;TFAP4;ZNF273;ZNF519;PAX6;ZBTB39;NFE2L2;GTF2IRD1;BCL11A;TP63;FOXE1;POU6F2;ZNF3;ZNF786;SIX1;DMRT1;SIX4;ZNF326;RFX7;TFCP2;DLX6;SOX12;MAZ;ZNF18;ZNF639;CREB3L4;ZBTB12;DLX5;KDM2B;DDIT3;E2F6;MYNN;FOXH1;SP3;ZNF589;ZNF343;ZNF507;HOXD12;ZNF711;KAT7;TCF20;PRDM13;ZNF558;DLX1;ZNF398;NEUROD2
